1#央视,#genre#
江苏卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226682/1.m3u8
浙江卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226701/1.m3u8
安徽卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226696/1.m3u8
北京卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226698/1.m3u8
东南卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226692/1.m3u8
广东卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226700/1.m3u8
广西卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226570/1.m3u8
贵州卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226245/1.m3u8
四川卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226252/1.m3u8
江西卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226702/1.m3u8
山东卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226695/1.m3u8
重庆卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226243/1.m3u8
天津卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226693/1.m3u8
海南卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226246/1.m3u8
深圳卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226703/1.m3u8
辽宁卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226718/1.m3u8
河北卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226247/1.m3u8
河南卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226697/1.m3u8
甘肃卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226721/1.m3u8
吉林卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226574/1.m3u8
黑龙江卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226724/1.m3u8
山西卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226174/1.m3u8
陕西卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226708/1.m3u8
宁夏卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226173/1.m3u8
云南卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226566/1.m3u8
青海卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226164/1.m3u8
西藏卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226169/1.m3u8
新疆卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226168/1.m3u8
内蒙古卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226166/1.m3u8
三沙卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226663/1.m3u8
厦门卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226726/1.m3u8
延边卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226732/1.m3u8
兵团卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226171/1.m3u8
康巴卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226725/1.m3u8
山东教育,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226652/1.m3u8
4#专业,#genre#
欢笑剧场-4K,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226722/1.m3u8
欢笑剧场-4K,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226729/1.m3u8
环球奇观,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226634/1.m3u8
国学频道,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226629/1.m3u8
文物宝库,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226714/1.m3u8
武术世界,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226707/1.m3u8
梨园频道,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226727/1.m3u8
金鹰纪实,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226666/1.m3u8
金鹰卡通,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226715/1.m3u8
快乐垂钓,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226671/1.m3u8
茶频道,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226679/1.m3u8
老故事,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226739/1.m3u8
卡酷少儿,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226177/1.m3u8
财富天下,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226651/1.m3u8
汽摩频道,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226733/1.m3u8
书画频道,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226665/1.m3u8
四海钓鱼,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226662/1.m3u8
先锋乒羽,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226668/1.m3u8
新动漫,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226670/1.m3u8
央广购物,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226660/1.m3u8
家有购物,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226650/1.m3u8
好享购物,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226647/1.m3u8
CETV1,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226705/1.m3u8
CETV2,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226601/1.m3u8
CETV4,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226712/1.m3u8
CGTN,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226637/1.m3u8
CGTN阿拉伯语,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226648/1.m3u8
CGTN俄语,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226658/1.m3u8
CGTN法语,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226645/1.m3u8
